#ip,ioc
1.116.156.226,Possible Cobaltstrike C2 IP
1.116.160.39,Possible Cobaltstrike C2 IP
1.116.96.210,Possible Cobaltstrike C2 IP
1.117.176.254,Possible Cobaltstrike C2 IP
1.117.228.211,Possible Cobaltstrike C2 IP
1.117.59.12,Possible Cobaltstrike C2 IP
1.12.235.152,Possible Cobaltstrike C2 IP
1.12.55.126,Possible Cobaltstrike C2 IP
1.13.156.222,Possible Cobaltstrike C2 IP
1.13.158.52,Possible Cobaltstrike C2 IP
1.13.17.173,Possible Cobaltstrike C2 IP
1.13.17.185,Possible Cobaltstrike C2 IP
1.13.255.117,Possible Cobaltstrike C2 IP
1.14.127.220,Possible Cobaltstrike C2 IP
1.14.65.125,Possible Cobaltstrike C2 IP
1.14.65.206,Possible Cobaltstrike C2 IP
1.14.68.150,Possible Cobaltstrike C2 IP
1.14.72.73,Possible Cobaltstrike C2 IP
1.14.76.152,Possible Cobaltstrike C2 IP
1.15.120.10,Possible Cobaltstrike C2 IP
1.15.189.200,Possible Cobaltstrike C2 IP
1.15.247.249,Possible Cobaltstrike C2 IP
1.15.248.225,Possible Cobaltstrike C2 IP
1.15.42.6,Possible Cobaltstrike C2 IP
100.25.156.1,Possible Cobaltstrike C2 IP
100.26.145.203,Possible Cobaltstrike C2 IP
101.132.108.176,Possible Cobaltstrike C2 IP
101.200.87.194,Possible Cobaltstrike C2 IP
101.32.34.196,Possible Cobaltstrike C2 IP
101.33.199.47,Possible Cobaltstrike C2 IP
101.33.219.90,Possible Cobaltstrike C2 IP
101.33.231.180,Possible Cobaltstrike C2 IP
101.33.244.132,Possible Cobaltstrike C2 IP
101.33.250.143,Possible Cobaltstrike C2 IP
101.34.23.227,Possible Cobaltstrike C2 IP
101.34.36.115,Possible Cobaltstrike C2 IP
101.34.93.112,Possible Cobaltstrike C2 IP
101.35.112.94,Possible Cobaltstrike C2 IP
101.35.141.80,Possible Cobaltstrike C2 IP
101.35.148.219,Possible Cobaltstrike C2 IP
101.35.198.64,Possible Cobaltstrike C2 IP
101.35.21.69,Possible Cobaltstrike C2 IP
101.35.23.182,Possible Cobaltstrike C2 IP
101.35.234.201,Possible Cobaltstrike C2 IP
101.35.235.73,Possible Cobaltstrike C2 IP
101.35.4.152,Possible Cobaltstrike C2 IP
101.35.46.154,Possible Cobaltstrike C2 IP
101.42.141.237,Possible Cobaltstrike C2 IP
101.42.169.90,Possible Cobaltstrike C2 IP
101.42.254.219,Possible Cobaltstrike C2 IP
101.42.4.243,Possible Cobaltstrike C2 IP
101.43.103.253,Possible Cobaltstrike C2 IP
101.43.117.80,Possible Cobaltstrike C2 IP
101.43.129.115,Possible Cobaltstrike C2 IP
101.43.136.152,Possible Cobaltstrike C2 IP
101.43.147.69,Possible Cobaltstrike C2 IP
101.43.149.199,Possible Cobaltstrike C2 IP
101.43.149.73,Possible Cobaltstrike C2 IP
101.43.15.142,Possible Cobaltstrike C2 IP
101.43.156.246,Possible Cobaltstrike C2 IP
101.43.16.149,Possible Cobaltstrike C2 IP
101.43.183.39,Possible Cobaltstrike C2 IP
101.43.187.70,Possible Cobaltstrike C2 IP
101.43.198.94,Possible Cobaltstrike C2 IP
101.43.2.116,Possible Cobaltstrike C2 IP
101.43.205.85,Possible Cobaltstrike C2 IP
101.43.229.185,Possible Cobaltstrike C2 IP
101.43.248.36,Possible Cobaltstrike C2 IP
101.43.249.151,Possible Cobaltstrike C2 IP
101.43.249.51,Possible Cobaltstrike C2 IP
101.43.45.243,Possible Cobaltstrike C2 IP
101.43.49.244,Possible Cobaltstrike C2 IP
101.43.64.17,Possible Cobaltstrike C2 IP
101.43.64.49,Possible Cobaltstrike C2 IP
101.43.67.24,Possible Cobaltstrike C2 IP
101.43.85.101,Possible Cobaltstrike C2 IP
101.43.86.215,Possible Cobaltstrike C2 IP
101.43.90.184,Possible Cobaltstrike C2 IP
101.91.154.125,Possible Cobaltstrike C2 IP
103.114.163.107,Possible Cobaltstrike C2 IP
103.126.211.119,Possible Cobaltstrike C2 IP
103.143.249.89,Possible Cobaltstrike C2 IP
103.145.107.219,Possible Cobaltstrike C2 IP
103.145.107.83,Possible Cobaltstrike C2 IP
103.146.141.98,Possible Cobaltstrike C2 IP
103.146.231.32,Possible Cobaltstrike C2 IP
103.159.133.210,Possible Cobaltstrike C2 IP
103.193.189.251,Possible Cobaltstrike C2 IP
103.233.253.147,Possible Cobaltstrike C2 IP
103.234.54.128,Possible Cobaltstrike C2 IP
103.234.72.18,Possible Cobaltstrike C2 IP
103.238.225.181,Possible Cobaltstrike C2 IP
103.255.176.110,Possible Cobaltstrike C2 IP
103.30.43.148,Possible Cobaltstrike C2 IP
103.36.196.60,Possible Cobaltstrike C2 IP
103.44.244.230,Possible Cobaltstrike C2 IP
103.44.250.187,Possible Cobaltstrike C2 IP
103.57.228.100,Possible Cobaltstrike C2 IP
103.57.228.101,Possible Cobaltstrike C2 IP
103.57.228.102,Possible Cobaltstrike C2 IP
103.57.228.98,Possible Cobaltstrike C2 IP
103.57.228.99,Possible Cobaltstrike C2 IP
103.61.3.208,Possible Cobaltstrike C2 IP
103.96.128.40,Possible Cobaltstrike C2 IP
103.97.128.72,Possible Cobaltstrike C2 IP
103.97.128.81,Possible Cobaltstrike C2 IP
103.97.176.111,Possible Cobaltstrike C2 IP
104.168.48.208,Possible Cobaltstrike C2 IP
104.200.67.121,Possible Cobaltstrike C2 IP
104.223.121.37,Possible Cobaltstrike C2 IP
104.238.151.17,Possible Cobaltstrike C2 IP
104.238.153.140,Possible Cobaltstrike C2 IP
104.238.35.74,Possible Cobaltstrike C2 IP
104.244.94.132,Possible Cobaltstrike C2 IP
104.248.132.158,Possible Cobaltstrike C2 IP
104.248.170.245,Possible Metasploit C2 IP
106.14.144.30,Possible Cobaltstrike C2 IP
106.14.75.240,Possible Cobaltstrike C2 IP
106.15.170.141,Possible Cobaltstrike C2 IP
106.15.184.156,Possible Cobaltstrike C2 IP
106.15.74.69,Possible Cobaltstrike C2 IP
106.52.116.188,Possible Cobaltstrike C2 IP
106.52.130.164,Possible Cobaltstrike C2 IP
106.52.187.62,Possible Cobaltstrike C2 IP
106.53.136.106,Possible Cobaltstrike C2 IP
106.53.67.175,Possible Cobaltstrike C2 IP
106.54.168.113,Possible Cobaltstrike C2 IP
106.54.181.10,Possible Cobaltstrike C2 IP
106.55.180.110,Possible Cobaltstrike C2 IP
106.55.181.108,Possible Cobaltstrike C2 IP
