#domain,ioc
0c422952587f892b.azureedge.net,Possible Cobalt Strike C2 Domain
16-fa.pw,Possible Cobalt Strike C2 Fronted Domain
2snrw9bgtk0qv.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
360.cn,Possible Cobalt Strike C2 Fronting Domain
360safengine.club,Possible Cobalt Strike C2 Fronting Domain
360sec.cloud,Possible Cobalt Strike C2 Domain
360sec.site,Possible Cobalt Strike C2 Domain
5tg66izsi8.execute-api.us-west-2.amazonaws.com,Possible Cobalt Strike C2 Domain
6.tcp.ngrok.io,Possible Cobalt Strike C2 Domain
6pen.art,Possible Cobalt Strike C2 Fronted Domain
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain
a.connection-78d5500d66aea.nl,Possible Cobalt Strike C2 Domain
a.oobcsilent.com,Possible Cobalt Strike C2 Domain
a.wvwvwv.tk,Possible Cobalt Strike C2 Domain
abc.hvd9qquq.top,Possible Cobalt Strike C2 Domain
abc.qianxinsecurity.com,Possible Cobalt Strike C2 Domain
abc1.qianxinsecurity.com,Possible Cobalt Strike C2 Domain
abcdefguvw.xyz,Possible Cobalt Strike C2 Domain
acc.officeappsreviews.com,Possible Cobalt Strike C2 Domain
accessdevsolutions.com,Possible Cobalt Strike C2 Domain
accessinfonet.com,Possible Cobalt Strike C2 Domain
actistesting.com,Possible Cobalt Strike C2 Fronted Domain
active.clarusbank.com,Possible Cobalt Strike C2 Domain
admin.16-fa.pw,Possible Cobalt Strike C2 Fronted Domain
admin.yuexiu.life,Possible Cobalt Strike C2 Domain
agency.baidubet.com,Possible Cobalt Strike C2 Domain
ailbaba.shop,Possible Cobalt Strike C2 Domain
ajax.googleapis.com,Possible Cobalt Strike C2 Fronting Domain
alarm.bettermoneyhelp.com,Possible Cobalt Strike C2 Domain
aleagroupdevelopment.com,Possible Cobalt Strike C2 Domain
alisso-alisso-vbadupbpwk.cn-zhangjiakou.fcapp.run,Possible Cobalt Strike C2 Domain
alivod.med126.com,Possible Cobalt Strike C2 Fronted Domain
aliyun-oss.xyz,Possible Cobalt Strike C2 Fronted Domain
antegivi.com,Possible Cobalt Strike C2 Domain
antliveplay.alicdn.com,Possible Cobalt Strike C2 Fronted Domain
api.linkein.org,Possible Cobalt Strike C2 Domain
api.map.ahrtv.cn,Possible Cobalt Strike C2 Domain
api.mmmllkps.tk,Possible Cobalt Strike C2 Domain
api.tanksw.top,Possible Cobalt Strike C2 Domain
apis.nodejs.cn,Possible Cobalt Strike C2 Fronting Domain
apis.nodejs.cn.wswebpic.com,Possible Cobalt Strike C2 Fronted Domain
app.dlmix.ourdvs.com,Possible Cobalt Strike C2 Fronted Domain
app.professional-survey.com,Possible Cobalt Strike C2 Domain
app.towerfinancial.net,Possible Cobalt Strike C2 Domain
apt007.microsoft.com,Possible Cobalt Strike C2 Fronting Domain
arpa.viewdns.net,Possible Cobalt Strike C2 Domain
arpaa.ddns.net,Possible Cobalt Strike C2 Domain
as.sortx2.com,Possible Cobalt Strike C2 Domain
as.sveexec.com,Possible Cobalt Strike C2 Domain
as.tackhostw.com,Possible Cobalt Strike C2 Domain
as.vm3dservice.com,Possible Cobalt Strike C2 Domain
asdcw.oracleup.cc,Possible Cobalt Strike C2 Domain
asdfgasd.com,Possible Cobalt Strike C2 Domain
ask.healthgurues.com,Possible Cobalt Strike C2 Domain
asssaaass1.qianxinsecurity.com,Possible Cobalt Strike C2 Domain
atlantisenergysystems.com,Possible Cobalt Strike C2 Domain
australiansuper.xyz,Possible Cobalt Strike C2 Fronted Domain
auth.webapi-telegram.com,Possible Cobalt Strike C2 Domain
awesomejackson.zscaler.skytapdns.com,Possible Cobalt Strike C2 Domain
azurecloudup.online,Possible Cobalt Strike C2 Fronted Domain
b.oobcsilent.com,Possible Cobalt Strike C2 Domain
baidu.hao012.tk,Possible Cobalt Strike C2 Domain
baidu.moonsir.cf,Possible Cobalt Strike C2 Domain
baidu.office365update.cn,Possible Cobalt Strike C2 Domain
bbc.cctv03.tk,Possible Cobalt Strike C2 Domain
bid.skhystec.com,Possible Cobalt Strike C2 Domain
bingobangobongobishbashbosh.xyz,Possible Cobalt Strike C2 Domain
binsmob.com,Possible Cobalt Strike C2 Domain
blacktulip.tk,Possible Cobalt Strike C2 Domain
block.health-degree.com,Possible Cobalt Strike C2 Domain
booksfortress.sytes.net,Possible Cobalt Strike C2 Fronted Domain
bot.qianxinsecurity.com,Possible Cobalt Strike C2 Domain
bot1.qianxinsecurity.com,Possible Cobalt Strike C2 Domain
br.claughs.ga,Possible Cobalt Strike C2 Domain
br.claughs.ga,Possible Cobalt Strike C2 Fronting Domain
bravo.minutes-men.com,Possible Cobalt Strike C2 Domain
brownderbys.com,Possible Cobalt Strike C2 Domain
c.kalilinux.net,Possible Cobalt Strike C2 Domain
c1.engaageement.com,Possible Cobalt Strike C2 Domain
c1.unirorm.xyz,Possible Cobalt Strike C2 Domain
c2.digitalriverinfosec.com,Possible Cobalt Strike C2 Domain
c2.engaageement.com,Possible Cobalt Strike C2 Domain
c2.iamabhacker.tk,Possible Cobalt Strike C2 Domain
c2.ststjst.shop,Possible Cobalt Strike C2 Domain
c3.engaageement.com,Possible Cobalt Strike C2 Domain
cancel.soupandselfcare.com,Possible Cobalt Strike C2 Domain
careers.96html.com,Possible Cobalt Strike C2 Fronted Domain
careers.trendmicro.96html.com,Possible Cobalt Strike C2 Fronted Domain
cbs.sproutsec.org,Possible Cobalt Strike C2 Domain
cc.claughs.ga,Possible Cobalt Strike C2 Fronted Domain
cce.netuse1.eu.org,Possible Cobalt Strike C2 Domain
