#domain,ioc
1.sybercodesilver.lol,Possible Cobalt Strike C2 Domain
2b594.danamoninternal.com,Possible Cobalt Strike C2 Domain
2b597.danamoninternal.com,Possible Cobalt Strike C2 Domain
5yvcn7n4sbqaxmu7d2qicdmfl5xcjgxwtptmqoozmwsio5zyp54noaqd.onion.ws,Possible Cobalt Strike C2 Domain
7w.lv,Possible Cobalt Strike C2 Domain
99avip.online,Possible Cobalt Strike C2 Fronted Domain
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain
a.kolunbia.com,Possible Cobalt Strike C2 Domain
acc.officeappsreviews.com,Possible Cobalt Strike C2 Domain
api.0nedriveup.com,Possible Cobalt Strike C2 Domain
api.office-updates.org,Possible Cobalt Strike C2 Domain
api.upgrad3.cc,Possible Cobalt Strike C2 Domain
app.baidu-soft.com,Possible Cobalt Strike C2 Domain
apple.weathersin.com,Possible Cobalt Strike C2 Domain
as.svchostsreg.com,Possible Cobalt Strike C2 Domain
aspmx5.clsr.ca,Possible Cobalt Strike C2 Domain
b2n7m4f3.stackpathcdn.com,Possible Cobalt Strike C2 Fronting Domain
baldu.wiki,Possible Cobalt Strike C2 Domain
biubiu.qgodaxin.tk,Possible Cobalt Strike C2 Domain
block.health-degree.com,Possible Cobalt Strike C2 Domain
blog.awscustomersupport.com,Possible Cobalt Strike C2 Domain
casualscorner.com,Possible Cobalt Strike C2 Domain
cdn.azureeservices.co.uk,Possible Cobalt Strike C2 Domain
cdn.efstech.de,Possible Cobalt Strike C2 Domain
cdn.jquerycodes.com,Possible Cobalt Strike C2 Domain
cdn.jscriptstore.com,Possible Cobalt Strike C2 Domain
cdn.suiteb.io,Possible Cobalt Strike C2 Domain
cdnoss.sec.cm,Possible Cobalt Strike C2 Domain
cdnoss.sec.cm,Possible Cobalt Strike C2 Fronting Domain
cdromcsc.com,Possible Cobalt Strike C2 Domain
charon2.corporate-helpdesk.de,Possible Cobalt Strike C2 Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
cins.hin7lostvas.pro,Possible Cobalt Strike C2 Domain
cityoall.com,Possible Cobalt Strike C2 Domain
cloudappsoftware.com,Possible Cobalt Strike C2 Domain
cloudflear.cf,Possible Cobalt Strike C2 Domain
clouds.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
cloudupdateservice.online,Possible Cobalt Strike C2 Fronted Domain
comecode.name,Possible Cobalt Strike C2 Domain
contact.mwam.support,Possible Cobalt Strike C2 Domain
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain
core-win-up.global.ssl.fastly.net,Possible Cobalt Strike C2 Domain
creativesoftsolutions.com,Possible Cobalt Strike C2 Domain
cs-go.btpanel.asia,Possible Cobalt Strike C2 Fronted Domain
cs.sharksbaby.pro,Possible Cobalt Strike C2 Domain
cs1.dnsonlin.co,Possible Cobalt Strike C2 Domain
cs45up230808.iqiyia.com,Possible Cobalt Strike C2 Domain
cs45upb230906a.iqiyid.com,Possible Cobalt Strike C2 Domain
cscscscscs.imalloc.cn,Possible Cobalt Strike C2 Domain
csxv.sec.cm,Possible Cobalt Strike C2 Fronted Domain
d1am0nd.ddns.net,Possible Cobalt Strike C2 Domain
d1qzl7xiwymjyn.cloudfront.net,Possible Cobalt Strike C2 Domain
d1t18p67ia2cnc.cloudfront.net,Possible Cobalt Strike C2 Domain
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain
db.dbzjk.top,Possible Cobalt Strike C2 Domain
dentaldev.azureedge.net,Possible Cobalt Strike C2 Domain
detectportalupdate.ru,Possible Cobalt Strike C2 Fronted Domain
devopszone.org,Possible Cobalt Strike C2 Domain
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dirt.acemindtechnology.com,Possible Cobalt Strike C2 Domain
dns.checkavail.space,Possible Cobalt Strike C2 Domain
dns.cityoall.com,Possible Cobalt Strike C2 Domain
dns.elsewhens.org,Possible Cobalt Strike C2 Domain
dns.forcorpor.com,Possible Cobalt Strike C2 Domain
dns.greypsecurity.training,Possible Cobalt Strike C2 Domain
dns.incididunt.com,Possible Cobalt Strike C2 Domain
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain
dns.ringatpstul.com,Possible Cobalt Strike C2 Domain
dns.veriernano.com,Possible Cobalt Strike C2 Domain
dnsproxy.blueseaedu.com,Possible Cobalt Strike C2 Domain
dnsswag.djn.blue,Possible Cobalt Strike C2 Domain
doc.bluework.ink,Possible Cobalt Strike C2 Domain
download.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
download.updatebrowser.cn,Possible Cobalt Strike C2 Fronted Domain
dsa7mkr3avu2g.cloudfront.net,Possible Cobalt Strike C2 Domain
exchange1.microsoftser.top,Possible Cobalt Strike C2 Domain
exchange2.microsoftser.top,Possible Cobalt Strike C2 Domain
exchanges1.microsoftser.top,Possible Cobalt Strike C2 Domain
exchanges2.microsoftser.top,Possible Cobalt Strike C2 Domain
exl.officeappsreviews.com,Possible Cobalt Strike C2 Domain
file.kolunbia.com,Possible Cobalt Strike C2 Domain
financialservicesunion.com,Possible Cobalt Strike C2 Domain
forcorpor.com,Possible Cobalt Strike C2 Domain
fwe43.danamoninternal.com,Possible Cobalt Strike C2 Domain
fxe12.danamoninternal.com,Possible Cobalt Strike C2 Domain
gk-stst.ru,Possible Cobalt Strike C2 Domain
gvlgq3xhw5-spot-sta1.b-cdn.net,Possible Cobalt Strike C2 Domain
harudake.com,Possible Cobalt Strike C2 Domain
home.yangguifeiyahoo.shop,Possible Cobalt Strike C2 Domain
iane.initiativeus.com,Possible Cobalt Strike C2 Domain
iane.outlookonlines.com,Possible Cobalt Strike C2 Domain
image.baiduu.org,Possible Cobalt Strike C2 Domain
incididunt.com,Possible Cobalt Strike C2 Domain
incitewebsolution.com,Possible Cobalt Strike C2 Domain
jdklove.top,Possible Cobalt Strike C2 Domain
ji31j6ul4283183.com,Possible Cobalt Strike C2 Domain
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain
jt.tnnd.ml,Possible Cobalt Strike C2 Domain
lack.protax123.com,Possible Cobalt Strike C2 Domain
leno.initiativeus.com,Possible Cobalt Strike C2 Domain
