#domain,ioc,uri_path
1.sybercodesilver.lol,Possible Cobalt Strike C2 Domain,/dpixel
2b594.danamoninternal.com,Possible Cobalt Strike C2 Domain,/jquery-3.6.1.min.js
2b597.danamoninternal.com,Possible Cobalt Strike C2 Domain,/jquery-3.6.1.min.js
4.xianlaohu.com,Possible Cobalt Strike C2 Fronted Domain,/api/x
5yvcn7n4sbqaxmu7d2qicdmfl5xcjgxwtptmqoozmwsio5zyp54noaqd.onion.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
6.tcp.ngrok.io,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
7w.lv,Possible Cobalt Strike C2 Domain,/updates.rss
99avip.online,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/2016/12/29136388_
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php
a.connectie-78d5566d11aea.nl,Possible Cobalt Strike C2 Domain,/58d84ae5-6a23-4b6a-9fe3-459fd28560c0/
a.kolunbia.com,Possible Cobalt Strike C2 Domain,/owa/KEWcLUqa3HMDW8EYqD0AIa3V
a.wps.pics,Possible Cobalt Strike C2 Domain,/js/components/content-info-b0c0e5245b.js
a.wvwvwv.tk,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
aaa.ad4min.com,Possible Cobalt Strike C2 Domain,/dot.gif
acc.hello.ljjjkkklll.asia,Possible Cobalt Strike C2 Domain,/api/3
acc.officeappsreviews.com,Possible Cobalt Strike C2 Domain,/lanche-334e58sfj4eeu7h4dd3sss32d
admin.alw536.com,Possible Cobalt Strike C2 Domain,/dot.gif
admin.yuexiu.life,Possible Cobalt Strike C2 Domain,/api/info
api.0nedriveup.com,Possible Cobalt Strike C2 Domain,/activity
api.mmmllkps.tk,Possible Cobalt Strike C2 Domain,/pixel
api.office-updates.org,Possible Cobalt Strike C2 Domain,/owa/
api.upgrad3.cc,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
apiv1.financialservicesnorthamerica.com,Possible Cobalt Strike C2 Domain,/opensearch
app.baidu-soft.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
app.ethvseos.nl,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
app.livcloud.info,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
apple.phruit.shop,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
apple.weathersin.com,Possible Cobalt Strike C2 Domain,/dot.gif
arpaa.ddns.net,Possible Cobalt Strike C2 Domain,/activity
arpaa.ddns.net,Possible Cobalt Strike C2 Domain,/load
as.svchostsreg.com,Possible Cobalt Strike C2 Domain,/get.css
aspmx5.clsr.ca,Possible Cobalt Strike C2 Domain,/fwlink
aspmx5.clsr.ca,Possible Cobalt Strike C2 Domain,/ga.js
auth.up.portcom-slpa.site,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
auto-gpt.pw,Possible Cobalt Strike C2 Domain,/Apply/smilies/SG4M1OMMSWBU
aw0.awsstatic.om,Possible Cobalt Strike C2 Fronted Domain,/j.ad
awda.updatecode.xyz,Possible Cobalt Strike C2 Domain,/__utm.gif
awesomejackson.zscaler.skytapdns.com,Possible Cobalt Strike C2 Domain,/dpixel
aws-na-ec2.com,Possible Cobalt Strike C2 Domain,/cm
b2n7m4f3.stackpathcdn.com,Possible Cobalt Strike C2 Fronting Domain,/static/js/jquery-3.6.0.js
baldu.wiki,Possible Cobalt Strike C2 Domain,/j.ad
beacon.keremsarmis.com,Possible Cobalt Strike C2 Domain,/en_US/all.js
beacon.keremsarmis.xyz,Possible Cobalt Strike C2 Domain,/index.html
beacon2.keremsarmis.com,Possible Cobalt Strike C2 Domain,/ca
beacon2.keremsarmis.xyz,Possible Cobalt Strike C2 Domain,/index.html
bid.skhystec.com,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js
binsmob.com,Possible Cobalt Strike C2 Domain,/j.ad
biohealth.azurewebsites.net,Possible Cobalt Strike C2 Domain,/find
biubiu.qgodaxin.tk,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
bks.loginke.com,Possible Cobalt Strike C2 Domain,/js/main.js
block.health-degree.com,Possible Cobalt Strike C2 Domain,/j.ad
blog.awscustomersupport.com,Possible Cobalt Strike C2 Domain,/page.jsp
blog.kagotsurube.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
blueroadproject.viewdns.net,Possible Cobalt Strike C2 Domain,/async/newtab_promos
bopever.co,Possible Cobalt Strike C2 Domain,/Kill/message/SLZ5D6LY
bova.fyi,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
bqq.clubreadbook.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
bqq2.clubreadbook.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
buzubolup.online,Possible Cobalt Strike C2 Domain,/make/corporate/CCX0XBFKBTIP
cabin.up.flysmart-piac-aero.site,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
casualscorner.com,Possible Cobalt Strike C2 Domain,/design/query/9X5M3SOE0F
cc.hakc.link,Possible Cobalt Strike C2 Domain,/ca
cdn.azureeservices.co.uk,Possible Cobalt Strike C2 Domain,/__utm.gif
cdn.cdndbapp.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
cdn.efstech.de,Possible Cobalt Strike C2 Domain,/adstats/v1c
cdn.google-cloudflare-static.store,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
cdn.jquerycodes.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
cdn.jscriptstore.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
cdn.microsoft-hk.com,Possible Cobalt Strike C2 Domain,/CloudGraph/Collection/v1
cdn.osn.gov.uk,Possible Cobalt Strike C2 Fronted Domain,/index.html
cdn.suiteb.io,Possible Cobalt Strike C2 Domain,/__utm.gif
cdn.update.microsoft.com.w.kunluncan.com,Possible Cobalt Strike C2 Fronted Domain,/api/x
cdn.whereismyip.cf,Possible Cobalt Strike C2 Domain,/push
cdn2.whereismyip.cf,Possible Cobalt Strike C2 Domain,/en_US/all.js
cdnoss.sec.cm,Possible Cobalt Strike C2 Domain,/image/
cdnoss.sec.cm,Possible Cobalt Strike C2 Fronting Domain,/image/
cdromcsc.com,Possible Cobalt Strike C2 Domain,/ptj
charon2.corporate-helpdesk.de,Possible Cobalt Strike C2 Domain,/push
check.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
