#domain,ioc,uri_path
16-fa.pw,Possible Cobalt Strike C2 Fronted Domain,/api/logout
360.cn,Possible Cobalt Strike C2 Fronting Domain,/cr.css
360sec.cloud,Possible Cobalt Strike C2 Domain,/restapi/soa2/21881/json/gethotdestination
6.tcp.ngrok.io,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
6pen.art,Possible Cobalt Strike C2 Fronted Domain,/toutiao/search
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
a.connectie-78d5566d11aea.nl,Possible Cobalt Strike C2 Domain,/58d84ae5-6a23-4b6a-9fe3-459fd28560c0/
a.wvwvwv.tk,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php
a.yuyancloud.asia,Possible Cobalt Strike C2 Domain,/dot.gif
aaa.ad4min.com,Possible Cobalt Strike C2 Domain,/pixel.gif
acc.officeappsreviews.com,Possible Cobalt Strike C2 Domain,/lanche-334e58sfj4eeu7h4dd3sss32d
accessdevsolutions.com,Possible Cobalt Strike C2 Domain,/ku.js
accessinfonet.com,Possible Cobalt Strike C2 Domain,/an
accessinfonet.com,Possible Cobalt Strike C2 Domain,/favicon
admin.16-fa.pw,Possible Cobalt Strike C2 Fronted Domain,/api/logout
admin.yuexiu.life,Possible Cobalt Strike C2 Domain,/api/info
adspirenetwork.com,Possible Cobalt Strike C2 Domain,/html.js
adspirenetwork.com,Possible Cobalt Strike C2 Domain,/ku.js
ailbaba.shop,Possible Cobalt Strike C2 Domain,/preload
aleagroupdevelopment.com,Possible Cobalt Strike C2 Domain,/html.js
aleagroupdevelopment.com,Possible Cobalt Strike C2 Domain,/ku.js
alisso-alisso-vbadupbpwk.cn-zhangjiakou.fcapp.run,Possible Cobalt Strike C2 Domain,/api/user
amazon.co.jp,Possible Cobalt Strike C2 Fronting Domain,/logo
antegivi.com,Possible Cobalt Strike C2 Domain,/updates.rss
api.0nedriveup.com,Possible Cobalt Strike C2 Domain,/push
api.mmmllkps.tk,Possible Cobalt Strike C2 Domain,/pixel
api.tanksw.top,Possible Cobalt Strike C2 Domain,/pixel.gif
api.upgrad3.cc,Possible Cobalt Strike C2 Domain,/ptj
apiv4.unemployment-compensation.org,Possible Cobalt Strike C2 Domain,/ui
app.dbapp.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
as.dsvchost.com,Possible Cobalt Strike C2 Domain,/zh
as.sortx2.com,Possible Cobalt Strike C2 Domain,/ml
as.vm3dservice.com,Possible Cobalt Strike C2 Domain,/RELEASE.html
ask.healthgurues.com,Possible Cobalt Strike C2 Domain,/j.ad
askubuntu.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
atlantisenergysystems.com,Possible Cobalt Strike C2 Domain,/tab_shop_active.css
auth.webapi-telegram.com,Possible Cobalt Strike C2 Domain,/msdownload/update/v3/static/trustedr/ru/authrootstl.cab
auto-gpt.pw,Possible Cobalt Strike C2 Domain,/Apply/smilies/SG4M1OMMSWBU
auto.safariupdate.net,Possible Cobalt Strike C2 Domain,/api/v4/zones/entitlements
baidu.hao012.tk,Possible Cobalt Strike C2 Domain,/updates.rss
baidu.moonsir.cf,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
