#domain,ioc,uri_path
16-fa.pw,Possible Cobalt Strike C2 Fronted Domain,/api/logout
360sec.cloud,Possible Cobalt Strike C2 Domain,/restapi/soa2/21881/json/gethotdestination
6.tcp.ngrok.io,Possible Cobalt Strike C2 Domain,/__utm.gif
6pen.art,Possible Cobalt Strike C2 Fronted Domain,/toutiao/search
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
a.connectie-78d5566d11aea.nl,Possible Cobalt Strike C2 Domain,/58d84ae5-6a23-4b6a-9fe3-459fd28560c0/
a.wvwvwv.tk,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php
acc.officeappsreviews.com,Possible Cobalt Strike C2 Domain,/lanche-334e58sfj4eeu7h4dd3sss32d
accessdevsolutions.com,Possible Cobalt Strike C2 Domain,/ku.js
accessinfonet.com,Possible Cobalt Strike C2 Domain,/an
accessinfonet.com,Possible Cobalt Strike C2 Domain,/favicon
admin.16-fa.pw,Possible Cobalt Strike C2 Fronted Domain,/api/logout
admin.yuexiu.life,Possible Cobalt Strike C2 Domain,/api/info
adspirenetwork.com,Possible Cobalt Strike C2 Domain,/html.js
adspirenetwork.com,Possible Cobalt Strike C2 Domain,/ku.js
ailbaba.shop,Possible Cobalt Strike C2 Domain,/preload
aleagroupdevelopment.com,Possible Cobalt Strike C2 Domain,/html.js
aleagroupdevelopment.com,Possible Cobalt Strike C2 Domain,/ku.js
alisso-alisso-vbadupbpwk.cn-zhangjiakou.fcapp.run,Possible Cobalt Strike C2 Domain,/api/user
antegivi.com,Possible Cobalt Strike C2 Domain,/updates.rss
api.0nedriveup.com,Possible Cobalt Strike C2 Domain,/ca
api.mmmllkps.tk,Possible Cobalt Strike C2 Domain,/pixel
api.tanksw.top,Possible Cobalt Strike C2 Domain,/pixel.gif
app.dbapp.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
as.vm3dservice.com,Possible Cobalt Strike C2 Domain,/RELEASE.html
atlantisenergysystems.com,Possible Cobalt Strike C2 Domain,/tab_shop_active.css
auth.webapi-telegram.com,Possible Cobalt Strike C2 Domain,/msdownload/update/v3/static/trustedr/ru/authrootstl.cab
baidu.moonsir.cf,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
bid.skhystec.com,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js
bingobangobongobishbashbosh.xyz,Possible Cobalt Strike C2 Domain,/ki.js
binsmob.com,Possible Cobalt Strike C2 Domain,/pixel.gif
blacktulip.tk,Possible Cobalt Strike C2 Domain,/visit.js
br.claughs.ga,Possible Cobalt Strike C2 Domain,/api/3
br.claughs.ga,Possible Cobalt Strike C2 Fronting Domain,/api/3
bravo.minutes-men.com,Possible Cobalt Strike C2 Domain,/fo
c1.unirorm.xyz,Possible Cobalt Strike C2 Domain,/dot.gif
cancel.soupandselfcare.com,Possible Cobalt Strike C2 Domain,/dpixel
card.starbucks.com.s3.bucket-amazon.com,Possible Cobalt Strike C2 Domain,/signin
cc.claughs.ga,Possible Cobalt Strike C2 Fronted Domain,/api/3
cdn.ad-tracker.org,Possible Cobalt Strike C2 Fronted Domain,/preload
cdn.adobe-research.net,Possible Cobalt Strike C2 Fronted Domain,/preload
cdn.avprotect.net,Possible Cobalt Strike C2 Fronted Domain,/preload
cdn.azureeservices.co.uk,Possible Cobalt Strike C2 Domain,/__utm.gif
cdn.dns-response.net,Possible Cobalt Strike C2 Fronted Domain,/preload
cdn.dnsportal.org,Possible Cobalt Strike C2 Fronted Domain,/preload
cdn.efstech.de,Possible Cobalt Strike C2 Domain,/adstats/v1c
cdn.ethvseos.nl,Possible Cobalt Strike C2 Domain,/image/
cdn.idnslookup.net,Possible Cobalt Strike C2 Fronted Domain,/preload
cdn.myfreelibrary.org,Possible Cobalt Strike C2 Domain,/login
cdn.softproxyapi.com,Possible Cobalt Strike C2 Domain,/client/v4/zones
cdn.suiteb.io,Possible Cobalt Strike C2 Domain,/__utm.gif
cetixsystems.com,Possible Cobalt Strike C2 Domain,/fo.html
cf.wsxqaz.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
charlie-twice.suiteb.io,Possible Cobalt Strike C2 Domain,/__utm.gif
charlie-twice.suiteb.io,Possible Cobalt Strike C2 Domain,/owa/
check.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/pixel
chidao.icu,Possible Cobalt Strike C2 Domain,/ga.js
cloudflear.cf,Possible Cobalt Strike C2 Domain,/api/3
cloudupdateservice.online,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/2020/10/29136388_
coalafoods.com,Possible Cobalt Strike C2 Domain,/design/query/9X5M3SOE0F
configupdate.com,Possible Cobalt Strike C2 Domain,/ku.js
consumer-img.huawei.com,Possible Cobalt Strike C2 Fronted Domain,/lib/v2/wcp-consent.js
contact.mwam.support,Possible Cobalt Strike C2 Domain,/messages/C0527B0NM
cs.kingsoft365.top,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
cyberwf.cf,Possible Cobalt Strike C2 Domain,/cx
d1672414.azureedge.net,Possible Cobalt Strike C2 Domain,/rn
d1am0nd.ddns.net,Possible Cobalt Strike C2 Domain,/j.ad
d1j6ynnkkyzn6b.cloudfront.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-026249/field-keywords=year
d1m383qkjwdfx0.cloudfront.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-026249/field-keywords=year
d1n3g6gayr311x.cloudfront.net,Possible Cobalt Strike C2 Domain,/html
d2h7014tid4d1y.cloudfront.net,Possible Cobalt Strike C2 Domain,/case
d2r7zxxp94uuq9.cloudfront.net,Possible Cobalt Strike C2 Domain,/ny
d2tm7b3g7gf7d5.cloudfront.net,Possible Cobalt Strike C2 Domain,/fo
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
d3llu4686fshym.cloudfront.net,Possible Cobalt Strike C2 Domain,/ny
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
da.fulim.top,Possible Cobalt Strike C2 Domain,/push
dangofil.xyz,Possible Cobalt Strike C2 Fronted Domain,/api/logout
datacloudprocessing.com,Possible Cobalt Strike C2 Domain,/extension
datacloudprocessing.com,Possible Cobalt Strike C2 Domain,/ny.css
def30qw5ks4uw.cloudfront.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
devnetapp.com,Possible Cobalt Strike C2 Domain,/d_config
devnetapp.com,Possible Cobalt Strike C2 Domain,/ky
dh5rg5aebo6yx.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/fp/Q6wi29xYH0gsRSIeIgVpy0
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
discover.myegov.eu,Possible Cobalt Strike C2 Domain,/showcaptcha
dn4d1v1ofq2j1.cloudfront.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
dns.alidns1.tk,Possible Cobalt Strike C2 Domain,/csdn-footer.css
dns.antegivi.com,Possible Cobalt Strike C2 Domain,/pixel
dns.azurelive-dns.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
dns.binsmob.com,Possible Cobalt Strike C2 Domain,/pixel
dns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
dns.crestbrige.site,Possible Cobalt Strike C2 Domain,/safebrowsing/mDn-/7YSLjQ0E-3erRkbO8ZDjD
dns.djn.blue,Possible Cobalt Strike C2 Domain,/api
dns.exploitresearch.art,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dns.forcorpor.com,Possible Cobalt Strike C2 Domain,/__utm.gif
dns.greypsecurity.training,Possible Cobalt Strike C2 Domain,/search/
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/fwlink
dns.velmeded.com,Possible Cobalt Strike C2 Domain,/dot.gif
dns.veriernano.com,Possible Cobalt Strike C2 Domain,/push
dnsproxy.blueseaedu.com,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
dnsswag.djn.blue,Possible Cobalt Strike C2 Domain,/search
doc.bluework.ink,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
doc.freeonline-office.com,Possible Cobalt Strike C2 Domain,/signin
download.chanenergy.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2022/03/29136388_
dpp.zhuoeye.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
drgb74ojbgxg7.cloudfront.net,Possible Cobalt Strike C2 Domain,/ku
dt.localtoast.co.za,Possible Cobalt Strike C2 Domain,/api/get.php
edu.enorth.com.cn,Possible Cobalt Strike C2 Fronted Domain,/owa
eu-1.myegov.eu,Possible Cobalt Strike C2 Domain,/showcaptcha
